 ,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
381,Chordata,Mammalia,Primates,Atelidae,Alouatta,palliata,male,brain size,56.7,g,,,,,,,,,,
382,Chordata,Mammalia,Primates,Atelidae,Alouatta,palliata,male,body mass,7031,g,,,,,,,,,,
382,Chordata,Mammalia,Primates,Atelidae,Alouatta,palliata,male,brain size,53.13,g,,,,,,,,,,
383,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,female,body mass,2268,g,,,,,,,,,,
383,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,female,brain size,94.5,g,,,,,,,,,,
384,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,body mass,1835,g,,,,,,,,,,
384,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,brain size,91,g,,,,,,,,,,
385,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,body mass,2268,g,,,,,,,,,,
385,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,brain size,82,g,,,,,,,,,,
386,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,body mass,1920,g,,,,,,,,,,
386,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,brain size,95.5,g,,,,,,,,,,
387,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,female,body mass,2155,g,,,,,,,,,,
387,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,female,brain size,95,g,,,,,,,,,,
388,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,oedipus,female,body mass,370,g,,,,,,,,,,
388,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,oedipus,female,brain size,9.7,g,,,,,,,,,,
389,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,oedipus,male,body mass,370,g,,,,,,,,,,
389,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,oedipus,male,brain size,9.2,g,,,,,,,,,,
390,Chordata,Mammalia,Primates,Aotidae,Aotus,trivirgatus,female,body mass,630,g,,,,,,,,,,
390,Chordata,Mammalia,Primates,Aotidae,Aotus,trivirgatus,female,brain size,17.2,g,,,,,,,,,,
391,Chordata,Mammalia,Primates,Aotidae,Aotus,trivirgatus,male,body mass,720,g,,,,,,,,,,
391,Chordata,Mammalia,Primates,Aotidae,Aotus,trivirgatus,male,brain size,17.2,g,,,,,,,,,,
392,Chordata,Mammalia,Primates,Cebidae,Saimiri,sciureus,female,body mass,580,g,,,,,,,,,,
392,Chordata,Mammalia,Primates,Cebidae,Saimiri,sciureus,female,brain size,23.1,g,,,,,,,,,,
393,Chordata,Mammalia,Primates,Cebidae,Saimiri,sciureus,male,body mass,720,g,,,,,,,,,,
393,Chordata,Mammalia,Primates,Cebidae,Saimiri,sciureus,male,brain size,25,g,,,,,,,,,,
394,Chordata,Mammalia,Primates,Cebidae,Cebus,albifrons,female,body mass,1470,g,,,,,,,,,,
394,Chordata,Mammalia,Primates,Cebidae,Cebus,albifrons,female,brain size,60.7,g,,,,,,,,,,
395,Chordata,Mammalia,Primates,Cebidae,Cebus,albifrons,male,body mass,1770,g,,,,,,,,,,
395,Chordata,Mammalia,Primates,Cebidae,Cebus,albifrons,male,brain size,65.2,g,,,,,,,,,,
396,Chordata,Mammalia,Primates,Cebidae,Cebus,apella,female,body mass,1810,g,,,,,,,,,,
396,Chordata,Mammalia,Primates,Cebidae,Cebus,apella,female,brain size,62.6,g,,,,,,,,,,
397,Chordata,Mammalia,Primates,Cebidae,Cebus,apella,male,body mass,2770,g,,,,,,,,,,
397,Chordata,Mammalia,Primates,Cebidae,Cebus,apella,male,brain size,70.8,g,,,,,,,,,,
398,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,female,body mass,4680,g,,,,,,,,,,
398,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,female,brain size,107.7,g,,,,,,,,,,
399,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,body mass,4760,g,,,,,,,,,,
399,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,male,brain size,107.6,g,,,,,,,,,,
400,Chordata,Mammalia,Primates,Atelidae,Ateles,paniscus,female,body mass,5220,g,,,,,,,,,,
400,Chordata,Mammalia,Primates,Atelidae,Ateles,paniscus,female,brain size,101.2,g,,,,,,,,,,
401,Chordata,Mammalia,Primates,Atelidae,Ateles,paniscus,male,body mass,5040,g,,,,,,,,,,
401,Chordata,Mammalia,Primates,Atelidae,Ateles,paniscus,male,brain size,106.5,g,,,,,,,,,,
402,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,aethiops,female,body mass,3220,g,,,,,,,,,,
402,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,aethiops,female,brain size,66.1,g,,,,,,,,,,
403,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,aethiops,male,body mass,5230,g,,,,,,,,,,
403,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,aethiops,male,brain size,66.3,g,,,,,,,,,,
404,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,female,body mass,3360,g,,,,,,,,,,
404,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,female,brain size,61.9,g,,,,,,,,,,
405,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,male,body mass,4740,g,,,,,,,,,,
405,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,male,brain size,70,g,,,,,,,,,,
406,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,mulatta,female,body mass,4880,g,,,,,,,,,,
406,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,mulatta,female,brain size,85.2,g,,,,,,,,,,
407,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,mulatta,male,body mass,5210,g,,,,,,,,,,
407,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,mulatta,male,brain size,90.7,g,,,,,,,,,,
408,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,arctoides,female,body mass,7450,g,,,,,,,,,,
408,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,arctoides,female,brain size,99.8,g,,,,,,,,,,
409,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,arctoides,male,body mass,7810,g,,,,,,,,,,
409,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,arctoides,male,brain size,101.6,g,,,,,,,,,,
410,Chordata,Mammalia,Primates,Cercopithecidae,Papio,anubis,female,body mass,12900,g,,,,,,,,,,
410,Chordata,Mammalia,Primates,Cercopithecidae,Papio,anubis,female,brain size,148,g,,,,,,,,,,
411,Chordata,Mammalia,Primates,Cercopithecidae,Papio,anubis,male,body mass,16060,g,,,,,,,,,,
411,Chordata,Mammalia,Primates,Cercopithecidae,Papio,anubis,male,brain size,174.7,g,,,,,,,,,,
412,Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta,ferox,,brain size,36.78,g,,,,,,,,,,
412,Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta,ferox,,body mass,9500,g,,,,,,,,,,
413,Chordata,Mammalia,Carnivora,Herpestidae,Atilax,paludinosus,,brain size,27.84,g,,,,,,,,,,
413,Chordata,Mammalia,Carnivora,Herpestidae,Atilax,paludinosus,,body mass,3300,g,,,,,,,,,,
414,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,urva,,brain size,22.3,g,,,,,,,,,,
414,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,urva,,body mass,1863,g,,,,,,,,,,
415,Chordata,Mammalia,Carnivora,Herpestidae,Paracynictis,selousi,,brain size,16.73,g,,,,,,,,,,
415,Chordata,Mammalia,Carnivora,Herpestidae,Paracynictis,selousi,,body mass,1640,g,,,,,,,,,,
416,Chordata,Mammalia,Carnivora,Mustelidae,Conepatus,chinga,,brain size,16.32,g,,,,,,,,,,
416,Chordata,Mammalia,Carnivora,Mustelidae,Conepatus,chinga,,body mass,1918,g,,,,,,,,,,
417,Chordata,Mammalia,Carnivora,Mustelidae,Conepatus,leuconotus,,brain size,18.52,g,,,,,,,,,,
417,Chordata,Mammalia,Carnivora,Mustelidae,Conepatus,leuconotus,,body mass,3500,g,,,,,,,,,,
418,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,mephitis,,brain size,11.75,g,,,,,,,,,,
418,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,mephitis,,body mass,1700,g,,,,,,,,,,
419,Chordata,Mammalia,Carnivora,Mephitidae,Mydaus,marchei,,brain size,14.87,g,,,,,,,,,,
419,Chordata,Mammalia,Carnivora,Mephitidae,Mydaus,marchei,,body mass,1414,g,,,,,,,,,,
420,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,gracilis,,brain size,6.81,g,,,,,,,,,,
420,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,gracilis,,body mass,420,g,,,,,,,,,,
421,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,putorius,,brain size,7.33,g,,,,,,,,,,
421,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,putorius,,body mass,341,g,,,,,,,,,,
422,Chordata,Mammalia,Carnivora,Mustelidae,Galictis,cuja,,brain size,23.52,g,,,,,,,,,,
422,Chordata,Mammalia,Carnivora,Mustelidae,Galictis,cuja,,body mass,1000,g,,,,,,,,,,
423,Chordata,Mammalia,Carnivora,Mustelidae,Ictonyx,striatus,,brain size,8.17,g,,,,,,,,,,
423,Chordata,Mammalia,Carnivora,Mustelidae,Ictonyx,striatus,,body mass,1300,g,,,,,,,,,,
424,Chordata,Mammalia,Carnivora,Mustelidae,Mellivora,capensis,,brain size,86.04,g,,,,,,,,,,
424,Chordata,Mammalia,Carnivora,Mustelidae,Mellivora,capensis,,body mass,9000,g,,,,,,,,,,
425,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,brain size,3.42,g,,,,,,,,,,
425,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,body mass,156,g,,,,,,,,,,
426,Chordata,Mammalia,Carnivora,Mustelidae,Poecilogale,albinucha,,brain size,4.56,g,,,,,,,,,,
426,Chordata,Mammalia,Carnivora,Mustelidae,Poecilogale,albinucha,,body mass,340,g,,,,,,,,,,
427,Chordata,Mammalia,Carnivora,Mustelidae,Taxidea,taxus,,brain size,56,g,,,,,,,,,,
427,Chordata,Mammalia,Carnivora,Mustelidae,Taxidea,taxus,,body mass,6000,g,,,,,,,,,,
428,Chordata,Mammalia,Carnivora,Mustelidae,Vormela,peregusna,,brain size,6.53,g,,,,,,,,,,
428,Chordata,Mammalia,Carnivora,Mustelidae,Vormela,peregusna,,body mass,450,g,,,,,,,,,,
429,Chordata,Mammalia,Carnivora,Procyonidae,Bassaricyon,alleni,,brain size,19.37,g,,,,,,,,,,
429,Chordata,Mammalia,Carnivora,Procyonidae,Bassaricyon,alleni,,body mass,1235,g,,,,,,,,,,
430,Chordata,Mammalia,Carnivora,Viverridae,Paguma,larvata,,brain size,26.47,g,,,,,,,,,,
430,Chordata,Mammalia,Carnivora,Viverridae,Paguma,larvata,,body mass,4300,g,,,,,,,,,,
431,Chordata,Mammalia,Carnivora,Viverridae,Viverra,tangalunga,,brain size,27.25,g,,,,,,,,,,
431,Chordata,Mammalia,Carnivora,Viverridae,Viverra,tangalunga,,body mass,10000,g,,,,,,,,,,
432,Chordata,Mammalia,Cingulata,Chlamyphoridae,Euphractus,sexcinctus,,brain size,21.37,g,,,,,,,,,,
432,Chordata,Mammalia,Cingulata,Chlamyphoridae,Euphractus,sexcinctus,,body mass,7990,g,,,,,,,,,,
433,Chordata,Mammalia,Cingulata,Chlamyphoridae,Tolypeutes,matacus,,brain size,8.86,g,,,,,,,,,,
433,Chordata,Mammalia,Cingulata,Chlamyphoridae,Tolypeutes,matacus,,body mass,1200,g,,,,,,,,,,
434,Chordata,Mammalia,Cingulata,Chlamyphoridae,Zaedyus,pichiy,,brain size,7.98,g,,,,,,,,,,
434,Chordata,Mammalia,Cingulata,Chlamyphoridae,Zaedyus,pichiy,,body mass,1740,g,,,,,,,,,,
435,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Atelerix,albiventris,,brain size,1.76,g,,,,,,,,,,
435,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Atelerix,albiventris,,body mass,280,g,,,,,,,,,,
436,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Echinosorex,gymnura,,brain size,5.5,g,,,,,,,,,,
436,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Echinosorex,gymnura,,body mass,957,g,,,,,,,,,,
437,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Mesechinus,dauuricus,,brain size,2.9,g,,,,,,,,,,
437,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Mesechinus,dauuricus,,body mass,342,g,,,,,,,,,,
438,Chordata,Mammalia,Pholidota,Manidae,Manis ,pentadactyla,,brain size,17.64,g,,,,,,,,,,
438,Chordata,Mammalia,Pholidota,Manidae,Manis ,pentadactyla,,body mass,4675,g,,,,,,,,,,
439,Chordata,Mammalia,Pholidota,Manidae,Manis,tricuspis,,brain size,9.3,g,,,,,,,,,,
439,Chordata,Mammalia,Pholidota,Manidae,Manis,tricuspis,,body mass,2067,g,,,,,,,,,,
440,Chordata,Mammalia,Rodentia,Echimyidae,Clyomys,laticeps,,brain size,3.52,g,,,,,,,,,,
440,Chordata,Mammalia,Rodentia,Echimyidae,Clyomys,laticeps,,body mass,201,g,,,,,,,,,,
441,Chordata,Mammalia,Rodentia,Echimyidae,Echimys,chrysurus,,brain size,5.02,g,,,,,,,,,,
441,Chordata,Mammalia,Rodentia,Echimyidae,Echimys,chrysurus,,body mass,652,g,,,,,,,,,,
442,Chordata,Mammalia,Rodentia,Echimyidae,Makalata,didelphoides,,brain size,3.45,g,,,,,,,,,,
442,Chordata,Mammalia,Rodentia,Echimyidae,Makalata,didelphoides,,body mass,108,g,,,,,,,,,,
443,Chordata,Mammalia,Rodentia,Echimyidae,Makalata,macrura,,brain size,3.89,g,,,,,,,,,,
443,Chordata,Mammalia,Rodentia,Echimyidae,Makalata,macrura,,body mass,439,g,,,,,,,,,,
444,Chordata,Mammalia,Rodentia,Echimyidae,Mesomys,hispidus,,brain size,2.64,g,,,,,,,,,,
444,Chordata,Mammalia,Rodentia,Echimyidae,Mesomys,hispidus,,body mass,175,g,,,,,,,,,,
445,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,brevicauda,,brain size,2.95,g,,,,,,,,,,
445,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,brevicauda,,body mass,285,g,,,,,,,,,,
446,Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,prehensilis,,brain size,16.73,g,,,,,,,,,,
446,Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,prehensilis,,body mass,4400,g,,,,,,,,,,
447,Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,rothschildi,,brain size,20.85,g,,,,,,,,,,
447,Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,rothschildi,,body mass,2000,g,,,,,,,,,,
448,Chordata,Mammalia,Rodentia,Erethizontidae,Sphiggurus,vestitus,,brain size,11.71,g,,,,,,,,,,
448,Chordata,Mammalia,Rodentia,Erethizontidae,Sphiggurus,vestitus,,body mass,736,g,,,,,,,,,,
449,Chordata,Mammalia,Rodentia,Hystricidae,Atherurus,macrourus,,brain size,31.57,g,,,,,,,,,,
449,Chordata,Mammalia,Rodentia,Hystricidae,Atherurus,macrourus,,body mass,2000,g,,,,,,,,,,
450,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,africaeaustralis,,brain size,35.71,g,,,,,,,,,,
450,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,africaeaustralis,,body mass,14936,g,,,,,,,,,,
451,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,brachyura,,brain size,37.64,g,,,,,,,,,,
451,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,brachyura,,body mass,8000,g,,,,,,,,,,
452,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,cristata,,brain size,49.55,g,,,,,,,,,,
452,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,cristata,,body mass,20000,g,,,,,,,,,,
453,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,indica,,brain size,44.07,g,,,,,,,,,,
453,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,indica,,body mass,14650,g,,,,,,,,,,
454,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,sumatrae,,brain size,27.04,g,,,,,,,,,,
454,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,sumatrae,,body mass,3260,g,,,,,,,,,,
455,Chordata,Mammalia,Rodentia,Hystricidae,Trichys,fasciculata,,brain size,13.05,g,,,,,,,,,,
455,Chordata,Mammalia,Rodentia,Hystricidae,Trichys,fasciculata,,body mass,1560,g,,,,,,,,,,
456,Chordata,Mammalia,Primates,Cebidae,Saguinus,oedipus,,brain size,9.64,g,,,,,,,,,,
456,Chordata,Mammalia,Primates,Cebidae,Saguinus,oedipus,,body mass,327.14,g,,,,,,,,,,
457,Chordata,Mammalia,Carnivora,Ursidae,Ursus,arctos,,brain size,335.97,g,,,,,,,,,,
457,Chordata,Mammalia,Carnivora,Ursidae,Ursus,arctos,,body mass,131022.67,g,,,,,,,,,,
458,Chordata,Mammalia,Primates,Hominidae,Pan,troglodytes,,brain size,354.81,g,,,,,,,,,,
458,Chordata,Mammalia,Primates,Hominidae,Pan,troglodytes,,body mass,60433.16,g,,,,,,,,,,
459,Chordata,Mammalia,Primates,Cebidae,Saguinus,geoffroyi,,brain size,14.27,g,,,,,,,,,,
459,Chordata,Mammalia,Primates,Cebidae,Saguinus,geoffroyi,,body mass,634.67,g,,,,,,,,,,
460,Chordata,Mammalia,Carnivora,Felidae,Panthera,tigris,,brain size,269.73,g,,,,,,,,,,
460,Chordata,Mammalia,Carnivora,Felidae,Panthera,tigris,,body mass,195000,g,,,,,,,,,,
461,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,tetradactyla,,brain size,27.5,g,,,,,,,,,,
461,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,tetradactyla,,body mass,4361,g,,,,,,,,,,
462,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,,brain size,341.99,g,,,,,,,,,,
462,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,,body mass,54229.04,g,,,,,,,,,,
463,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,muelleri,,brain size,95.31,g,,,,,,,,,,
463,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,muelleri,,body mass,5954.88,g,,,,,,,,,,
464,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,syndactylus,,brain size,134.8,g,,,,,,,,,,
464,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,syndactylus,,body mass,12172,g,,,,,,,,,,
465,Chordata,Mammalia,Primates,Hominidae,Gorilla,gorilla,,brain size,454.55,g,,,,,,,,,,
465,Chordata,Mammalia,Primates,Hominidae,Gorilla,gorilla,,body mass,120975,g,,,,,,,,,,
467,Chordata,Mammalia,Cetartiodactyla,Bovidae,Damaliscus,pygargus,,brain size,254.6,g,,,,,,,,,,
467,Chordata,Mammalia,Cetartiodactyla,Bovidae,Damaliscus,pygargus,,body mass,62500,g,,,,,,,,,,
468,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,,brain size,1250.43,g,,,,,,,,,,
468,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,,body mass,65142.86,g,,,,,,,,,,
469,Chordata,Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,petersi,,brain size,5.4,g,,,,,,,,,,
469,Chordata,Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,petersi,,body mass,370,g,,,,,,,,,,
470,Chordata,Mammalia,Primates,Cercopithecidae,Cercocebus,agilis,,brain size,95.3,g,,,,,,,,,,
470,Chordata,Mammalia,Primates,Cercopithecidae,Cercocebus,agilis,,body mass,4700,g,,,,,,,,,,
471,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus,sphinx,,brain size,159.2,g,,,,,,,,,,
471,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus,sphinx,,body mass,11500,g,,,,,,,,,,
472,Chordata,Mammalia,Primates,Cebidae,Saimiri,boliviensis,,brain size,24.06,g,,,,,,,,,,
472,Chordata,Mammalia,Primates,Cebidae,Saimiri,boliviensis,,body mass,750,g,,,,,,,,,,
473,Chordata,Mammalia,Primates,Cercopithecidae,Trachypithecus,francoisi,,brain size,94.4,g,,,,,,,,,,
473,Chordata,Mammalia,Primates,Cercopithecidae,Trachypithecus,francoisi,,body mass,9100,g,,,,,,,,,,
474,Chordata,Mammalia,Primates,Cercopithecidae,Colobus,guereza,,brain size,83.9,g,,,,,,,,,,
474,Chordata,Mammalia,Primates,Cercopithecidae,Colobus,guereza,,body mass,10281.25,g,,,,,,,,,,
475,Chordata,Mammalia,Primates,Cercopithecidae,Colobus,angolensis,,brain size,74.4,g,,,,,,,,,,
475,Chordata,Mammalia,Primates,Cercopithecidae,Colobus,angolensis,,body mass,9670,g,,,,,,,,,,
476,Chordata,Mammalia,Cetartiodactyla,Bovidae,Tragelaphus,eurycerus,,brain size,389,g,,,,,,,,,,
476,Chordata,Mammalia,Cetartiodactyla,Bovidae,Tragelaphus,eurycerus,,body mass,253000,g,,,,,,,,,,
477,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,bancanus,,brain size,2.7,g,,,,,,,,,,
477,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,bancanus,,body mass,77.6,g,,,,,,,,,,
478,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,pygmaeus,,brain size,7.8,g,,,,,,,,,,
478,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,pygmaeus,,body mass,480,g,,,,,,,,,,
479,Chordata,Mammalia,Xenarthra,Megalonychidae,Choloepus,didactylus,,brain size,28.2,g,,,,,,,,,,
479,Chordata,Mammalia,Xenarthra,Megalonychidae,Choloepus,didactylus,,body mass,5070,g,,,,,,,,,,
480,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,parma,,brain size,17.4,g,,,,,,,,,,
480,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,parma,,body mass,3760,g,,,,,,,,,,
481,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,bicolor,,brain size,32.7,g,,,,,,,,,,
481,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,bicolor,,body mass,16400,g,,,,,,,,,,
482,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,coucang,,brain size,12.74,g,,,,,,,,,,
482,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,coucang,,body mass,655.5,g,,,,,,,,,,
483,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,potto,,brain size,12.07,g,,,,,,,,,,
483,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,potto,,body mass,929.33,g,,,,,,,,,,
484,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,maura,,brain size,94.48,g,,,,,,,,,,
484,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,maura,,body mass,6846,g,,,,,,,,,,
485,Chordata,Mammalia,Primates,Cebidae,Leontopithecus,rosalia,,brain size,13.05,g,,,,,,,,,,
485,Chordata,Mammalia,Primates,Cebidae,Leontopithecus,rosalia,,body mass,512.38,g,,,,,,,,,,
486,Chordata,Mammalia,Primates,Atelidae,Alouatta,caraya,,brain size,50.7,g,,,,,,,,,,
486,Chordata,Mammalia,Primates,Atelidae,Alouatta,caraya,,body mass,5012.5,g,,,,,,,,,,
487,Chordata,Mammalia,Primates,Lemuridae,Lemur,catta,,brain size,21.63,g,,,,,,,,,,
487,Chordata,Mammalia,Primates,Lemuridae,Lemur,catta,,body mass,2090,g,,,,,,,,,,
488,Chordata,Mammalia,Primates,Cercopithecidae,Erythrocebus,patas,,brain size,100.2,g,,,,,,,,,,
488,Chordata,Mammalia,Primates,Cercopithecidae,Erythrocebus,patas,,body mass,7376,g,,,,,,,,,,
489,Chordata,Mammalia,Primates,Cebidae,Callithrix,pygmaea,,brain size,4.64,g,,,,,,,,,,
489,Chordata,Mammalia,Primates,Cebidae,Callithrix,pygmaea,,body mass,134.75,g,,,,,,,,,,
490,Chordata,Mammalia,Primates,Lorisidae,Loris,tardigradus,,brain size,6,g,,,,,,,,,,
490,Chordata,Mammalia,Primates,Lorisidae,Loris,tardigradus,,body mass,322,g,,,,,,,,,,
491,Chordata,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,medius,,brain size,3.34,g,,,,,,,,,,
491,Chordata,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,medius,,body mass,179.67,g,,,,,,,,,,
492,Chordata,Mammalia,Eulipotyphla,Solenodontidae,Solenodon ,paradoxus,,body mass,900,g,,,,,,,,,,
492,Chordata,Mammalia,Eulipotyphla,Solenodontidae,Solenodon ,paradoxus,,brain size,4.67,g,,,,,,,,,,
493,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,,body mass,832,g,,,,,,,,,,
493,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,,brain size,2.57,g,,,,,,,,,,
494,Chordata,Mammalia,Afrosoricida,Tenrecidae,Setifer,setosus,,body mass,248,g,,,,,,,,,,
494,Chordata,Mammalia,Afrosoricida,Tenrecidae,Setifer,setosus,,brain size,1.51,g,,,,,,,,,,
495,Chordata,Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,,body mass,110,g,,,,,,,,,,
495,Chordata,Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,,brain size,0.83,g,,,,,,,,,,
496,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops,telfairi,,body mass,87.5,g,,,,,,,,,,
496,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops,telfairi,,brain size,0.62,g,,,,,,,,,,
497,Chordata,Mammalia,Afrosoricida,Tenrecidae,Oryzorictes,hova,,body mass,44.2,g,,,,,,,,,,
497,Chordata,Mammalia,Afrosoricida,Tenrecidae,Oryzorictes,hova,,brain size,0.58,g,,,,,,,,,,
498,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,cowani,,body mass,15.2,g,,,,,,,,,,
498,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,cowani,,brain size,0.42,g,,,,,,,,,,
499,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,,body mass,32.6,g,,,,,,,,,,
499,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,,brain size,0.56,g,,,,,,,,,,
500,Chordata,Mammalia,Afrosoricida,Tenrecidae,Limnogale,mergulus,,body mass,92,g,,,,,,,,,,
500,Chordata,Mammalia,Afrosoricida,Tenrecidae,Limnogale,mergulus,,brain size,1.15,g,,,,,,,,,,
501,Chordata,Mammalia,Afrosoricida,Tenrecidae,Potamogale,velox,,body mass,660,g,,,,,,,,,,
501,Chordata,Mammalia,Afrosoricida,Tenrecidae,Potamogale,velox,,brain size,4.1,g,,,,,,,,,,
502,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,860,g,,,,,,,,,,
502,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3.35,g,,,,,,,,,,
503,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,minutus,,body mass,5.3,g,,,,,,,,,,
